日期,正常购电成本,紧急购电成本,紧急购电量,弃电量,日总成本,日初SOC,日终SOC,实际再调度电量
2025-02-01,53160.82730940872,0.0,0.0,44727.26466727242,53160.82730940872,5869.347961086666,8205.319902844818,34159.60894800041
2025-02-02,42252.421998328144,41894.84118543309,7069.8644256333355,113.49782803333346,84147.26318376124,8205.319902844818,1200.0,11695.883576999999
2025-02-03,54414.092665410884,1940.7072066739436,287.760490703332,2294.820641308651,56354.799872084826,1200.0,1347.5412383888888,5124.462805845315
2025-02-04,60102.664187518225,0.0,0.0,7133.545316327982,60102.664187518225,1347.5412383888888,2479.0025601922216,8514.519976027985
2025-02-05,63377.60464070071,0.0,0.0,11885.530690022631,63377.60464070071,2479.0025601922216,3060.0559249881503,12420.3557434893
2025-02-06,65484.16524903251,0.0,0.0,15188.453799073666,65484.16524903251,3060.0559249881503,3409.1089526081482,17105.83433123992
2025-02-07,66027.85515785147,0.0,0.0,59529.36991001728,66027.85515785147,3409.1089526081482,10073.60131120778,39228.87755258435
2025-02-08,48073.343150284905,0.0,0.0,43077.097559944435,48073.343150284905,10073.60131120778,8077.124199649997,33277.47469532427
2025-02-09,39926.90482212711,66183.83983570208,11395.580225436996,0.0,106110.74465782919,8077.124199649997,1200.0,17111.935719136334
2025-02-10,53380.52558239493,306.0339145894218,101.32722681100033,7097.683377015224,53686.55949698435,1200.0,1200.0,8381.082191468005
2025-02-11,57726.69438167468,0.0,0.0,10298.957629781486,57726.69438167468,1200.0,2391.743622957039,10546.40137144815
2025-02-12,60090.94842115631,0.0,0.0,13297.387797915642,60090.94842115631,2391.743622957039,3020.3763373488887,14353.185786148973
2025-02-13,61960.78766009858,0.0,0.0,19676.34482069547,61960.78766009858,3020.3763373488887,3547.7260818481454,21084.33987918107
2025-02-14,61098.228455173434,0.0,0.0,54809.018038920156,61098.228455173434,3547.7260818481454,10356.763102306671,38008.47747900412
2025-02-15,44479.21692705876,0.0,0.0,40779.19383103847,44479.21692705876,10356.763102306671,7825.378560752223,30777.089329757808
2025-02-16,37399.06516827629,61899.58575330989,10759.009135764332,0.0,99298.65092158617,7825.378560752223,1212.7890869999999,15141.721791197666
2025-02-17,50255.332387847695,583.0222007115339,83.9899376333334,6141.16641489136,50838.35458855923,1212.7890869999999,1225.7361507540747,7453.815832249795
2025-02-18,54801.87995549947,0.0,0.0,9484.4264757037,54801.87995549947,1225.7361507540747,2722.539752227775,11600.240121800405
2025-02-19,57144.37090759646,0.0,0.0,12548.494969472013,57144.37090759646,2722.539752227775,2653.728340097412,11642.64229365515
2025-02-20,59762.00705954066,0.0,0.0,16716.09849599917,59762.00705954066,2653.728340097412,3794.6514727540753,18431.556754710284
2025-02-21,59555.584733211326,0.0,0.0,57333.07650899916,59555.584733211326,3794.6514727540753,10380.737062403332,36820.65071291152
2025-02-22,42452.2581711768,0.0,0.0,39157.73194643826,42452.2581711768,10380.737062403332,8052.944359274816,29469.58135495268
2025-02-23,35804.23647822089,52528.095253850086,9100.903142331663,0.0,88332.33173207098,8052.944359274816,1220.9845500000001,13432.301569751664
2025-02-24,48177.48975103134,1197.653683414237,199.610715425335,6346.4763289358,49375.14343444558,1220.9845500000001,1309.9553813103714,8102.678530427802
2025-02-25,52650.3708008523,0.0,0.0,13401.233512942794,52650.3708008523,1309.9553813103714,2455.2724752166687,13880.08814260946
2025-02-26,54245.35703018034,0.0,0.0,12177.240444021816,54245.35703018034,2455.2724752166687,3101.8041825203723,14538.048120288486
2025-02-27,56292.608292485456,0.0,0.0,16246.572107210282,56292.608292485456,3101.8041825203723,3768.025607961115,16073.399618956792
2025-02-28,56683.8304649769,0.0,0.0,55556.31886922427,56683.8304649769,3768.025607961115,10244.020093922223,36506.153738518515
2025-03-01,40238.40130513513,0.0,0.0,40057.744572653915,40238.40130513513,10244.020093922223,8014.907033888148,29365.321494847733
2025-03-02,33616.11571696671,79587.18275295894,12929.561632179655,0.0,113203.29846992565,8014.907033888148,1200.0,20753.77478228567
2025-03-03,47136.79978646107,5038.739540836617,819.5197865250642,874.1673740185189,52175.539327297694,1200.0,1313.0647010211114,4330.375517541583
2025-03-04,53289.92064114176,0.0,0.0,10472.057507835798,53289.92064114176,1313.0647010211114,2427.8433486770336,11754.028650235796
2025-03-05,55698.0656062744,0.0,0.0,17145.905497055544,55698.0656062744,2427.8433486770336,3060.690549512965,18873.976818055547
2025-03-06,56629.17934414118,0.0,0.0,18134.990596962547,56629.17934414118,3060.690549512965,3706.940779664819,21158.44854069588
2025-03-07,56442.3368010145,0.0,0.0,57654.4615010432,56442.3368010145,3706.940779664819,10457.334470205558,37411.61101616954
2025-03-08,39509.85689425109,0.0,0.0,43610.55466996378,39509.85689425109,10457.334470205558,8204.284936614813,29784.20786476831
2025-03-09,31750.249666015814,43228.989415036405,7445.5575381633325,409.72077269999977,74979.23908105222,8204.284936614813,1200.0,11222.348443644662
2025-03-10,43314.93678658591,5966.316036454671,986.2555252583336,60.60797216666674,49281.25282304058,1200.0,1264.3560737999999,5834.880494935
2025-03-11,49481.607395455925,0.0,0.0,10648.502687527574,49481.607395455925,1264.3560737999999,2779.7556963970383,13179.137519660915
2025-03-12,51632.52853502688,0.0,0.0,15857.510046730868,51632.52853502688,2779.7556963970383,2852.993736097776,17197.948039497533
