日期,正常费,调整费,紧急费,总费用,紧急电量,未利用供给,日初电量,日末电量,预测方法
2025-01-01,0.0,0.0,357384.78779798595,357384.78779798595,87715.17001756668,0.0,6000.0,1200.0000009999999,weighted
2025-01-02,90954.58035517189,0.0,1.588887243997306e-12,90954.58035517189,4.547473508864641e-13,36419.25258605481,1200.0000009999999,2092.0846008148123,weighted
2025-01-03,91207.00329981162,0.0,0.0,91207.00329981162,0.0,78593.43913416662,2092.0846008148123,9433.043487361825,weighted
2025-01-04,68312.96601860007,0.0,9.063398920261535e-13,68312.96601860007,1.7053025658242404e-13,58760.56714858159,9433.043487361825,6339.156360166669,weighted
2025-01-05,61121.13763806052,0.0,27819.02324475277,88940.16088281329,4967.937601851851,9413.086534327851,6339.156360166669,1233.2667301666665,weighted
2025-01-06,72889.15169195324,0.0,3.111497675993818e-13,72889.15169195324,6.499409842784798e-14,12954.407664596416,1233.2667301666665,3282.1432892732264,weighted
2025-01-07,74105.52080707217,0.0,3.8239864157265736e-12,74105.52080707217,8.579344510208434e-13,14893.68818590124,3282.1432892732264,2606.6471875962857,weighted
2025-01-08,78961.92468763696,0.0,6.747973866423791e-13,78961.92468763696,1.3899260431840532e-13,23286.13640150325,2606.6471875962857,3224.24475468842,weighted
2025-01-09,79433.9299458585,0.0,1.0779785952763631e-12,79433.9299458585,2.2737367544323206e-13,23369.638173127412,3224.24475468842,2566.284454614137,weighted
2025-01-10,74255.74389226621,0.0,6.129425855760929e-13,74255.74389226621,1.1368683772161603e-13,55430.2285250292,2566.284454614137,10383.587600757604,weighted
2025-01-11,53911.39916936551,0.0,3.813340754277306e-13,53911.39916936551,8.526512829121202e-14,38999.40258416918,10383.587600757604,7085.553917052767,weighted
2025-01-12,45870.475084935744,0.0,83552.56023211699,129423.03531705274,14736.105233551953,1.0231815394945443e-12,7085.553917052767,1229.7070593333333,weighted
2025-01-13,69518.7220539119,0.0,1.0952874163194792e-12,69518.7220539119,2.2737367544323206e-13,12427.760716032328,1229.7070593333333,2288.6654997831292,weighted
2025-01-14,73980.3856360261,0.0,1.0889493751164991e-12,73980.3856360261,2.2737367544323206e-13,16522.461848756775,2288.6654997831292,3389.770534138367,weighted
2025-01-15,68907.89985313067,0.0,1.3065744042251027e-12,68907.89985313067,2.8421709430404007e-13,10202.79339955643,3389.770534138367,2966.3401900002928,weighted
2025-01-16,70210.21267450592,0.0,2.719673375395359e-13,70210.21267450592,5.684341886080802e-14,11709.397562158787,2966.3401900002928,3763.5615252203693,weighted
2025-01-17,70537.73416377124,0.0,1.8047217054117938e-12,70537.73416377124,3.410605131648481e-13,54042.525307188946,3763.5615252203693,10522.725653049629,weighted
2025-01-18,52820.52531879693,0.0,0.0,52820.52531879693,0.0,38136.32391466014,10522.725653049629,8039.660154179633,weighted
2025-01-19,45628.297923833044,0.0,76169.58816251592,121797.88608634897,12761.519453533228,23.57093400000089,8039.660154179633,1305.0100363222223,weighted
2025-01-20,60027.72927712728,0.0,645.0634345022047,60672.79271162948,114.18026746684134,1138.3259922445382,1305.0100363222223,1459.1365640290528,weighted
2025-01-21,65695.02306666039,0.0,1.3525607300834963e-12,65695.02306666039,2.8421709430404007e-13,12016.268183495471,1459.1365640290528,2468.4923868500005,weighted
2025-01-22,72869.44373340585,0.0,1.4987335816840639e-12,72869.44373340585,3.410605131648481e-13,14511.045165785887,2468.4923868500005,3619.088982057408,weekly
2025-01-23,73024.70626530374,0.0,1.2769589829986217e-12,73024.70626530374,2.8421709430404007e-13,14680.302006890775,3619.088982057408,3886.2418681685185,weekly
2025-01-24,37082.274369296705,0.0,4.531557351583615e-13,37082.274369296705,1.1368683772161603e-13,20036.51156854496,3886.2418681685185,4529.647162005473,weekly
2025-01-25,35402.23699052962,0.0,6.492371085187187e-13,35402.23699052962,1.7053025658242404e-13,19422.48973461574,4529.647162005473,4783.918976873284,weekly
