日期,时间段,0点计划kWh,最终正常购电kWh
2025-03-20,10:00-10:10,0.0,0.0
2025-03-20,12:00-12:10,477.57882704970285,477.57882704970285
2025-03-20,14:00-14:10,0.0,0.0
2025-03-20,16:00-16:10,528.4506475968883,528.4506475968883
2025-03-20,18:00-18:10,717.3738869657345,717.3738869657345
2025-03-20,20:00-20:10,0.0,0.0
2025-06-21,10:00-10:10,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0
2025-06-21,16:00-16:10,209.7031221666667,209.7031221666667
2025-06-21,18:00-18:10,0.0,0.0
2025-06-21,20:00-20:10,0.0,0.0
2025-09-23,10:00-10:10,0.0,0.0
2025-09-23,12:00-12:10,520.7593459999998,520.7593459999998
2025-09-23,14:00-14:10,0.0,0.0
2025-09-23,16:00-16:10,574.1887921666665,574.1887921666665
2025-09-23,18:00-18:10,799.4806633333334,799.4806633333334
2025-09-23,20:00-20:10,0.0,0.0
2025-12-21,10:00-10:10,0.0,0.0
2025-12-21,12:00-12:10,938.1361485398795,938.1361485398795
2025-12-21,14:00-14:10,0.0,0.0
2025-12-21,16:00-16:10,855.2929419613333,855.2929419613333
2025-12-21,18:00-18:10,743.1625666666665,743.1625666666665
2025-12-21,20:00-20:10,0.0,0.0
