date,normal_cost_cny,adjustment_cost_cny,emergency_cost_cny,total_cost_cny,emergency_kwh,initial_kwh,terminal_kwh
2025-01-01,0.0,0.0,423086.4059909256,423086.4059909256,87715.17001756668,6000.0,1200.0000009999999
2025-01-02,111691.08610359664,0.0,2.084095728377986e-12,111691.08610359664,4.888533967819381e-13,1200.0000009999999,2079.2326384074063
2025-01-03,86588.34736636268,0.0,0.0,86588.34736636268,0.0,2079.2326384074063,9044.569525320854
2025-01-04,63429.129968420784,0.0,8.880079582903805e-13,63429.129968420784,1.8189898372267255e-13,9044.569525320854,5936.047918895835
2025-01-05,75503.62284672426,0.0,30254.282840505442,105757.90568722971,4954.198435046294,5936.047918895835,1200.0000009999999
2025-01-06,96376.86821714533,0.0,7.905043892221454e-13,96376.86821714533,1.2505552420428306e-13,1200.0000009999999,2266.5373444394872
2025-01-07,102444.16461287011,0.0,7.699112922719686e-13,102444.16461287011,1.3642472568298203e-13,2266.5373444394872,3270.7431966736935
2025-01-08,104671.26112520846,0.0,1.0315933816808926e-13,104671.26112520846,4.547469172055951e-14,3270.7431966736935,3533.5902085565936
2025-01-09,105387.73572616093,0.0,1.460534804209601e-12,105387.73572616093,2.2737367544323206e-13,3533.5902085565936,3113.548234613301
2025-01-10,81691.73184659281,0.0,0.0,81691.73184659281,0.0,3113.548234613301,9280.662819022009
2025-01-11,63807.49978345492,0.0,3.000621973114903e-14,63807.49978345492,1.4210854715202004e-14,9280.662819022009,9491.965732753497
2025-01-12,72004.02997994005,0.0,3.2774494229670385e-12,72004.02997994005,8.526512829121202e-13,9491.965732753497,1704.8976739788077
2025-01-13,87348.87016535696,0.0,1.3358203432289883e-12,87348.87016535696,2.2737367544323206e-13,1704.8976739788077,3117.8436380730977
2025-01-14,92263.5125511197,0.0,3.649631707958179e-12,92263.5125511197,5.684341886080801e-13,3117.8436380730977,4239.66379077284
2025-01-15,96091.51701404915,0.0,6.861569090688136e-13,96091.51701404915,1.1368683772161603e-13,4239.66379077284,4845.671491372936
2025-01-16,98696.23812467736,0.0,1.2354064438113708e-12,98696.23812467736,1.9895196601282805e-13,4845.671491372936,5618.280645913581
2025-01-17,76731.91370339211,0.0,0.0,76731.91370339211,0.0,5618.280645913581,10741.96216313895
2025-01-18,60714.43222926434,0.0,0.0,60714.43222926434,0.0,10741.96216313895,9658.412419790531
2025-01-19,69052.01831248666,0.0,3.0996716304798607e-12,69052.01831248666,6.821210263296962e-13,9658.412419790531,1779.2173555333318
2025-01-20,84324.72070509172,0.0,1.1775540213331423e-12,84324.72070509172,1.8400976272217595e-13,1779.2173555333318,3517.4255895876527
2025-01-21,85332.5934562904,0.0,0.0,85332.5934562904,0.0,3517.4255895876527,4058.563526909262
2025-01-22,96950.48194115542,0.0,7.121343514882027e-13,96950.48194115542,1.1368683772161603e-13,4058.563526909262,5351.613974644443
2025-01-23,98688.5895012779,0.0,3.5776679396803957e-12,98688.5895012779,5.684341886080801e-13,5351.613974644443,5576.349526311114
2025-01-24,39228.5084152405,0.0,0.0,39228.5084152405,0.0,5576.349526311114,6229.526195374073
2025-01-25,39469.624068872035,0.0,4.653770702134352e-13,39469.624068872035,1.1368683772161603e-13,6229.526195374073,6119.0614217209095
2025-01-26,94879.53216921417,0.0,1.3842509360983968e-12,94879.53216921417,2.2737367544323206e-13,6119.0614217209095,5572.478892905558
2025-01-27,94283.53825876082,0.0,6.740492608514615e-13,94283.53825876082,1.1368683772161603e-13,5572.478892905558,5366.3142519796265
