date,normal_cost_cny,adjustment_cost_cny,emergency_cost_cny,total_cost_cny,emergency_kwh,initial_kwh,terminal_kwh
2025-01-01,0.0,0.0,423086.4059909256,423086.4059909256,87715.17001756668,6000.0,1200.0000009999999
2025-01-02,111487.95110813771,0.0,2.008277988352347e-12,111487.95110813771,4.547473508864641e-13,1200.0000009999999,2040.513956370369
2025-01-03,86413.13054890609,0.0,0.0,86413.13054890609,0.0,2040.513956370369,9298.842167443363
2025-01-04,63208.743800960336,0.0,6.445404625382646e-13,63208.743800960336,1.2616049901276703e-13,9298.842167443363,6010.401467842595
2025-01-05,75271.82472354367,0.0,30029.704634674945,105301.52935821861,4923.582551712962,6010.401467842595,1200.0000009999999
2025-01-06,89288.09304326994,0.0,7.5311586367156e-14,89288.09304326994,3.4499123393108566e-14,1200.0000009999999,3295.8210996136163
2025-01-07,89664.44573434338,0.0,3.978606105448811e-12,89664.44573434338,6.59137248091874e-13,3295.8210996136163,2599.8444164265798
2025-01-08,94503.6512612068,0.0,7.125322554202285e-13,94503.6512612068,1.1368683772161603e-13,2599.8444164265798,3224.24475468842
2025-01-09,95979.90436359751,0.0,7.036078386590816e-13,95979.90436359751,1.1368683772161603e-13,3224.24475468842,2566.284454614137
2025-01-10,67869.50496130553,0.0,8.502796190116951e-13,67869.50496130553,1.6651096327495798e-13,2566.284454614137,10383.587600757604
2025-01-11,51586.48502264764,0.0,1.2926619774589198e-12,51586.48502264764,2.5579538487363607e-13,10383.587600757604,7617.033917052769
2025-01-12,56053.697482679054,0.0,91657.32469317733,147711.0221758564,13655.358887786158,7617.033917052769,1200.0000009999999
2025-01-13,82937.9586911521,0.0,0.0,82937.9586911521,0.0,1200.0000009999999,2280.346153064447
2025-01-14,87810.34204989357,0.0,9.359517544437066e-13,87810.34204989357,1.4106033371539747e-13,2280.346153064447,3389.7705341383667
2025-01-15,82090.16849145663,0.0,1.1726228876796084e-12,82090.16849145663,3.410605131648481e-13,3389.7705341383667,2966.3401900002928
2025-01-16,84589.61043542759,0.0,8.520368401977469e-13,84589.61043542759,1.3146527323790874e-13,2966.3401900002928,3777.708462998146
2025-01-17,64628.71555454858,0.0,1.1429506230342667e-12,64628.71555454858,2.2737367544323206e-13,3777.708462998146,10530.717865116667
2025-01-18,48518.67096401039,0.0,0.0,48518.67096401039,0.0,10530.717865116667,7841.110043481485
2025-01-19,54606.49605138662,0.0,84574.60812561866,139181.10417700527,12137.044403847884,7841.110043481485,1248.5853723407408
2025-01-20,67831.01512737497,0.0,14453.4203078982,82284.43543527316,2107.666914909999,1248.5853723407408,1629.5808031870374
2025-01-21,77120.6890815224,0.0,9.959535418602173e-13,77120.6890815224,1.7053025658242404e-13,1629.5808031870374,2470.8454218500005
2025-01-22,87196.11827732944,0.0,7.370317689492367e-13,87196.11827732944,1.1368683772161603e-13,2470.8454218500005,3606.938981007408
2025-01-23,87782.23266381101,0.0,1.7348611436318606e-12,87782.23266381101,2.8421709430404007e-13,3606.938981007408,3838.07179456852
2025-01-24,33503.17917895575,0.0,4.610001269611531e-13,33503.17917895575,1.1368683772161603e-13,3838.07179456852,4698.424321457513
2025-01-25,31522.717525708358,0.0,4.653770702134352e-13,31522.717525708358,1.1368683772161603e-13,4698.424321457513,4824.403079613352
2025-01-26,80145.39838800096,0.0,9.857785698841325e-13,80145.39838800096,1.7053025658242404e-13,4824.403079613352,3025.301831457749
2025-01-27,80499.77180881631,0.0,3.0578917176171673e-13,80499.77180881631,5.684341886080802e-14,3025.301831457749,2918.0565937968267
2025-01-28,78149.4608286038,0.0,1.0852403420358313e-12,78149.4608286038,1.9895196601282805e-13,2918.0565937968267,2809.886707657203
2025-01-29,77613.46092259481,0.0,3.155378180963453e-13,77613.46092259481,5.684341886080802e-14,2809.886707657203,3360.37370334694
2025-01-30,74375.79689972743,0.0,1.3591261449619196e-12,74375.79689972743,3.979039320256561e-13,3360.37370334694,3093.2649365092575
2025-01-31,29508.505424303323,0.0,2.6838620215130503e-13,29508.505424303323,1.1368683772161603e-13,3093.2649365092575,4671.258033798144
2025-02-01,26233.564594943804,0.0,4.911271389573813e-13,26233.564594943804,1.1368683772161603e-13,4671.258033798144,4430.241494796297
2025-02-02,66370.70137372069,0.0,3.9000269680400373e-13,66370.70137372069,8.526512829121202e-14,4430.241494796297,2705.434390555556
2025-02-03,66778.63847488476,0.0,9.4198071565188e-13,66778.63847488476,3.126388037344441e-13,2705.434390555556,2641.718363655685
2025-02-04,65723.31901237872,0.0,1.8982291294378228e-12,65723.31901237872,4.547473508864641e-13,2641.718363655685,2507.816703127776
2025-02-05,69418.09260811444,0.0,1.2527431316692456e-12,69418.09260811444,3.2493929422172663e-13,2507.816703127776,2923.900504051855
2025-02-06,69998.91535300415,0.0,2.4970436701969755e-12,69998.91535300415,5.235049590004981e-13,2923.900504051855,3293.62839885185
2025-02-07,22072.500681892525,0.0,1.7990942069445737e-13,22072.500681892525,5.684341886080802e-14,3293.62839885185,2939.333918457406
2025-02-08,20486.911679952285,0.0,0.0,20486.911679952285,0.0,2939.333918457406,2769.515278396295
2025-02-09,63960.32506211626,0.0,3.694751171678945e-12,63960.325062116266,9.379164112033322e-13,2769.515278396295,2970.7479515148166
2025-02-10,64542.18338844371,0.0,8.292317943414674e-13,64542.18338844371,1.7053025658242404e-13,2970.7479515148166,2965.474913864519
2025-02-11,62519.29082610349,0.0,1.8525199152463756e-12,62519.29082610349,3.694822225952521e-13,2965.474913864519,2638.6843732433395
2025-02-12,60768.67391199101,0.0,1.2917595881845044e-12,60768.67391199101,2.984279490192421e-13,2638.6843732433395,2748.496273806922
2025-02-13,60582.2213136897,0.0,5.948336302685763e-13,60582.2213136897,1.1502474320246314e-13,2748.496273806922,2911.4789778978575
2025-02-14,18041.584195195817,0.0,7.984226613189094e-13,18041.584195195817,3.410605131648481e-13,2911.4789778978575,2636.184666762963
2025-02-15,17269.771485245503,0.0,4.58612703368999e-13,17269.771485245503,1.1368683772161603e-13,2636.184666762963,1374.1968994829188
2025-02-16,60253.8981813845,0.0,0.0,60253.8981813845,0.0,1374.1968994829188,2533.517760055563
2025-02-17,59424.5973404258,0.0,1.3509406926459634e-12,59424.5973404258,2.7000623958883807e-13,2533.517760055563,2663.7666654589675
2025-02-18,57232.49691454914,0.0,0.0,57232.49691454914,0.0,2663.7666654589675,2939.425470923779
2025-02-19,57088.99165524373,0.0,8.444877962069178e-15,57088.99165524373,1.7351300517914892e-15,2939.425470923779,2206.5579651129665
2025-02-20,55436.495862157215,0.0,2.8354634196148253e-12,55436.495862157215,6.821210263296962e-13,2206.5579651129665,2088.510511416665
2025-02-21,17101.39323547019,0.0,3.359446054673754e-13,17101.39323547019,2.2737367544323206e-13,2088.510511416665,2157.7013287333293
2025-02-22,16977.504418616703,0.0,0.0,16977.504418616703,0.0,2157.7013287333293,2286.2960711722226
2025-02-23,54570.60649628035,0.0,1.4377548041011323e-12,54570.60649628035,2.984279490192421e-13,2286.2960711722226,2086.780354827776
2025-02-24,55018.67868277636,0.0,1.183153131023573e-12,55018.67868277636,2.5579538487363607e-13,2086.780354827776,2410.394063344052
2025-02-25,52421.58634741029,0.0,1.843263319756261e-12,52421.58634741029,4.156675004196586e-13,2410.394063344052,2012.0360378611108
2025-02-26,50245.44841894276,0.0,2.676898702702602e-12,50245.44841894276,6.252776074688882e-13,2012.0360378611108,2266.968636685045
2025-02-27,48432.55547475359,0.0,1032.9612437019803,49465.516718455576,198.01220792368855,2266.968636685045,2062.261435500453
