date,normal_cost_cny,adjustment_cost_cny,emergency_cost_cny,total_cost_cny,emergency_kwh,initial_kwh,terminal_kwh
2025-01-01,0.0,0.0,423086.4059909256,423086.4059909256,87715.17001756668,6000.0,1200.0000009999999
2025-01-02,111691.08610331424,0.0,2.0460635474577827e-12,111691.08610331424,4.717449033405513e-13,1200.0000009999999,2079.2326384074067
2025-01-03,86594.94549528105,0.0,0.0,86594.94549528105,0.0,2079.2326384074067,8920.859573998041
2025-01-04,63424.12807803103,0.0,5.797460289613808e-13,63424.12807803103,1.1368683772161603e-13,8920.859573998041,5936.047918895835
2025-01-05,74767.7490287938,0.0,30604.597345987317,105372.34637478112,5170.659935046297,5936.047918895835,1200.0000009999999
2025-01-06,96853.26103223965,0.0,7.227640708151739e-13,96853.26103223965,1.1368683772161603e-13,1200.0000009999999,2742.420610759257
2025-01-07,98731.78808201822,0.0,7.135554369597231e-13,98731.78808201822,1.1368683772161603e-13,2742.420610759257,2929.576712096926
2025-01-08,98575.22234158308,0.0,1.2894929568574298e-13,98575.22234158308,5.684341886080802e-14,2929.576712096926,3165.3461922169777
2025-01-09,98711.92803404218,0.0,7.036078386590816e-13,98711.92803404218,1.1368683772161603e-13,3165.3461922169777,2621.196291401117
2025-01-10,69561.51197685619,0.0,5.78552317165304e-13,69561.51197685619,1.1368683772161603e-13,2621.196291401117,10271.045001664523
2025-01-11,63473.530034388285,0.0,0.0,63473.530034388285,0.0,10271.045001664523,9533.035768761727
2025-01-12,69215.02961681513,0.0,8597.467539328372,77812.4971561435,1335.719716076137,9533.035768761727,1262.9737885
2025-01-13,84191.90796502773,0.0,6.40739017399028e-13,84191.90796502773,1.1368683772161603e-13,1262.9737885,2407.4276334809238
2025-01-14,88155.05244546634,0.0,7.632934284629301e-13,88155.05244546634,1.1368683772161603e-13,2407.4276334809238,3441.725861738367
2025-01-15,82256.897094587,0.0,6.221512194315437e-13,82256.897094587,1.1368683772161603e-13,3441.725861738367,2991.976659713077
2025-01-16,99404.48947197138,0.0,1.0677467798814177e-12,99404.48947197138,1.7053025658242404e-13,2991.976659713077,5461.831981375515
2025-01-17,72875.25147938915,0.0,3.0024693842278794e-13,72875.25147938915,5.684341886080802e-14,5461.831981375515,10681.77343445679
2025-01-18,53746.42428198656,0.0,7.911751254141563e-13,53746.42428198656,1.7053025658242404e-13,10681.77343445679,8376.197363225103
2025-01-19,58149.867702582385,0.0,61827.5102901631,119977.37799274549,8900.596261031667,8376.197363225103,1248.5853723407408
2025-01-20,70440.38934534567,0.0,10307.535121367144,80747.92446671281,1465.8534807133317,1248.5853723407408,1629.5808031870374
2025-01-21,86349.29388053788,0.0,3.018385541508906e-13,86349.29388053788,5.684341886080802e-14,1629.5808031870374,4074.810732074076
