date,normal_cost_cny,adjustment_cost_cny,emergency_cost_cny,total_cost_cny,emergency_kwh,initial_kwh,terminal_kwh
2025-01-01,0.0,0.0,423086.4059909256,423086.4059909256,87715.17001756668,6000.0,1200.0000009999999
2025-01-02,94401.32828034884,0.0,1.973546659428393e-12,94401.32828034884,4.547473508864641e-13,1200.0000009999999,2040.3092156296282
2025-01-03,71057.6623712666,0.0,3.0260594030551147e-13,71057.6623712666,5.684341886080802e-14,2040.3092156296282,9298.676327443363
2025-01-04,33657.079272902185,0.0,0.0,33657.079272902185,0.0,9298.676327443363,4841.4906389478265
2025-01-05,37885.358459933355,0.0,212643.16978987874,250528.52824981208,33758.51665468171,4841.4906389478265,1200.0000009999999
2025-01-06,72279.29483967164,0.0,18736.938766955598,91016.23360662724,2840.955340860623,1200.0000009999999,1200.0000009999999
2025-01-07,74661.37860951577,0.0,12395.960552573724,87057.3391620895,1758.2723755353359,1200.0000009999999,1238.3095087403824
2025-01-08,88319.55276594625,0.0,6.883738024043851e-13,88319.55276594625,1.1368683772161603e-13,1238.3095087403824,2099.2665362718617
2025-01-09,85128.1144309543,0.0,1.0277858564222697e-12,85128.1144309543,1.7053025658242404e-13,2099.2665362718617,2517.6748249801453
2025-01-10,66267.75941753748,0.0,5.78552317165304e-13,66267.75941753748,1.1368683772161603e-13,2517.6748249801453,8742.086003498605
2025-01-11,47026.11096410607,0.0,4.887965587840881e-13,47026.11096410607,1.1368683772161603e-13,8742.086003498605,6123.463425874036
2025-01-12,54658.00544053361,0.0,103259.9426577622,157917.94809829583,15524.867049864053,6123.463425874036,1200.0000009999999
2025-01-13,67797.27231448155,0.0,25748.018398748605,93545.29071323016,4162.89146872018,1200.0000009999999,1200.0000009999999
2025-01-14,74568.14732059908,0.0,893.2387073613113,75461.38602796038,142.3370441986866,1200.0000009999999,1203.1990616868104
2025-01-15,75514.19487149626,0.0,3065.801399445212,78579.99627094148,391.5091087735411,1203.1990616868104,1876.481088009093
2025-01-16,76793.06855896863,0.0,12.835239812300099,76805.90379878093,1.8150660839002166,1876.481088009093,2541.3140568602803
2025-01-17,61853.12446841545,0.0,1.1429506230342667e-12,61853.12446841545,2.2737367544323206e-13,2541.3140568602803,9260.566259265064
2025-01-18,47072.62464145222,0.0,5.616414000542135e-13,47072.62464145222,1.1368683772161603e-13,9260.566259265064,6798.713823990539
2025-01-19,46703.50795363307,0.0,138508.9114405876,185212.41939422066,20837.710179143178,6798.713823990539,1200.0000009999999
2025-01-20,62566.72358127755,0.0,46143.911352002986,108710.63493328053,6699.935862858525,1200.0000009999999,1200.000001
2025-01-21,69702.59372512923,0.0,8.671405649058423e-13,69702.59372512923,2.906866506400055e-13,1200.000001,1781.3540219829074
2025-01-22,84207.4964150883,0.0,0.0,84207.4964150883,0.0,1781.3540219829074,2966.046532728018
2025-01-23,81349.74623916653,0.0,9.98682025965536e-13,81349.74623916653,1.7053025658242404e-13,2966.046532728018,3172.54546046946
2025-01-24,25379.775497248465,0.0,1.7825634301971152e-12,25379.775497248465,3.765876499528531e-13,3172.54546046946,3518.8030103143924
2025-01-25,24670.331303283332,0.0,6.880327418912202e-13,24670.331303283332,1.7053025658242404e-13,3518.8030103143924,3241.174262200726
2025-01-26,83173.7715893535,0.0,0.0,83173.7715893535,0.0,3241.174262200726,2903.4620942346196
2025-01-27,71716.12696293657,0.0,1.2808811789000176e-12,71716.12696293657,3.694822225952521e-13,2903.4620942346196,2429.47552223731
2025-01-28,75949.06098805643,0.0,3.36342509399401e-13,75949.06098805643,5.684341886080802e-14,2429.47552223731,2270.7098653432686
2025-01-29,68255.99130755704,0.0,95.28112076666807,68351.2724283237,13.771933333333564,2270.7098653432686,2939.4423588239983
2025-01-30,69100.98212554038,0.0,3.4266207649125137e-12,69100.98212554038,7.105427357601002e-13,2939.4423588239983,2379.9560321857134
2025-01-31,22013.850806623042,0.0,1.9441301901679255e-12,22013.850806623046,5.968558980384842e-13,2379.9560321857134,2705.8757147359424
2025-02-01,21790.711318404774,0.0,3.1300828595703933e-13,21790.711318404774,1.7053025658242404e-13,2379.470316116976,3122.581149767017
2025-02-02,67530.3708502341,0.0,5.766480626334669e-13,67530.3708502341,1.1368683772161603e-13,3122.581149767017,2934.196238979628
