日期,实际调度正常购电成本,日终SOC,下一日保留目标
2025-01-01,61907.08478679431,6273.549913333332,6273.549913333332
2025-01-02,62542.252651238516,6335.6384499999995,6335.6384499999995
2025-01-03,24583.329230674815,3614.954683333333,3614.954683333333
2025-01-04,25656.717382191913,3614.5194366666665,3614.5194366666665
2025-01-05,62529.20673628508,6268.306143333334,6268.306143333334
2025-01-06,60960.9762077724,6287.26088,6287.26088
2025-01-07,61983.03198025783,5866.178069766667,5866.178069766667
2025-01-08,60454.658070960555,6393.497103966667,6393.497103966667
2025-01-09,61299.04235116945,6473.753051759999,6473.753051759999
2025-01-10,25372.58024282878,5471.001097653334,5471.001097653334
2025-01-11,25202.190421520958,4811.1573582266665,4811.1573582266665
2025-01-12,61408.13249578317,5847.638327493334,5847.638327493334
2025-01-13,59308.68884827735,6637.5820332,6637.5820332
2025-01-14,59918.289364432276,6847.608282353333,6847.608282353333
2025-01-15,60720.83735609292,6995.263786986667,6995.263786986667
2025-01-16,59903.77366069739,7015.600957466667,7015.600957466667
2025-01-17,23616.229854378897,5887.623203066668,5887.623203066668
2025-01-18,24141.987837183166,5126.285239166666,5126.285239166666
2025-01-19,60047.01634560513,6141.107665366668,6141.107665366668
2025-01-20,59317.25625091237,6651.98508486,6651.98508486
2025-01-21,55676.15456315862,6798.404801373334,6798.404801373334
2025-01-22,59644.85566449167,7015.492030306667,7015.492030306667
2025-01-23,59895.17362652437,7089.133862266667,7089.133862266667
2025-01-24,22101.535641270082,5996.431286166667,5996.431286166667
2025-01-25,21684.39885804063,5270.169317033333,5270.169317033333
2025-01-26,58725.89562639032,6109.3827927600005,6109.3827927600005
2025-01-27,55920.232157698556,6456.582007126666,6456.582007126666
2025-01-28,58014.31501509553,6733.404639,6733.404639
2025-01-29,53507.39289934631,6795.4746170533335,6795.4746170533335
2025-01-30,55818.593358191676,6891.758504633333,6891.758504633333
2025-01-31,21435.475610775553,5869.347961086666,5869.347961086666
